assignment_id,task_id,employee_id,role,start_date,end_date,allocated_hours
7afd27ce,TSK-PRJ-001-001,EMP-0089,Lead,2026-03-30,2026-03-31,16
15c79f62,TSK-PRJ-001-001,EMP-0117,Reviewer,2026-03-30,2026-03-31,6
1f625067,TSK-PRJ-001-002,EMP-0071,Lead,2025-10-06,2025-10-21,4
2827f66f,TSK-PRJ-001-002,EMP-0062,QA,2025-10-06,2025-10-21,1
362d3b14,TSK-PRJ-001-002,EMP-0092,Reviewer,2025-10-06,2025-10-21,1
d8412678,TSK-PRJ-001-002,EMP-0097,Reviewer,2025-10-06,2025-10-21,1
870ce744,TSK-PRJ-001-003,EMP-0062,Lead,2026-03-30,2026-05-04,4
102478ac,TSK-PRJ-001-003,EMP-0021,QA,2026-03-30,2026-05-04,1
a3ca7384,TSK-PRJ-001-004,EMP-0096,Lead,2026-03-01,2026-03-10,24
134b5f01,TSK-PRJ-001-005,EMP-0037,Lead,2026-09-05,2026-09-26,8
1e0bce61,TSK-PRJ-001-005,EMP-0168,Reviewer,2026-09-05,2026-09-26,3
ddfc74dd,TSK-PRJ-001-005,EMP-0171,QA,2026-09-05,2026-09-26,1
6c983b07,TSK-PRJ-001-006,EMP-0038,Lead,2026-07-19,2026-07-27,8
aca0e259,TSK-PRJ-001-007,EMP-0011,Lead,2026-01-18,2026-01-29,40
b970ff69,TSK-PRJ-001-007,EMP-0184,QA,2026-01-18,2026-01-29,8
93c23a7c,TSK-PRJ-001-007,EMP-0175,Support,2026-01-18,2026-01-29,4
7ac1bbef,TSK-PRJ-001-007,EMP-0120,QA,2026-01-18,2026-01-29,14
2c1b6038,TSK-PRJ-001-008,EMP-0111,Lead,2025-11-06,2025-11-24,4
8090baec,TSK-PRJ-001-009,EMP-0204,Lead,2025-12-08,2025-12-09,40
76e5b791,TSK-PRJ-001-010,EMP-0184,Lead,2026-01-15,2026-01-29,40
a1476cf4,TSK-PRJ-001-010,EMP-0165,Support,2026-01-15,2026-01-29,8
7e791775,TSK-PRJ-001-011,EMP-0127,Lead,2025-11-15,2025-11-16,40
e3c81648,TSK-PRJ-001-011,EMP-0095,Reviewer,2025-11-15,2025-11-16,15
70a13c89,TSK-PRJ-001-012,EMP-0177,Lead,2025-09-19,2025-09-20,80
74b24b75,TSK-PRJ-001-012,EMP-0089,Support,2025-09-19,2025-09-20,34
717078c5,TSK-PRJ-001-013,EMP-0214,Lead,2026-07-12,2026-08-09,24
84d0eb15,TSK-PRJ-001-013,EMP-0069,Reviewer,2026-07-12,2026-08-09,8
75d334a8,TSK-PRJ-001-013,EMP-0165,Reviewer,2026-07-12,2026-08-09,6
74c33f94,TSK-PRJ-001-013,EMP-0027,Reviewer,2026-07-12,2026-08-09,6
2c2b2c4b,TSK-PRJ-001-014,EMP-0112,Lead,2026-03-21,2026-03-22,24
ff206219,TSK-PRJ-001-014,EMP-0192,Support,2026-03-21,2026-03-22,11
0e1f0464,TSK-PRJ-001-014,EMP-0164,Reviewer,2026-03-21,2026-03-22,11
c8ff6ec3,TSK-PRJ-001-014,EMP-0240,QA,2026-03-21,2026-03-22,8
c22ac6cb,TSK-PRJ-001-015,EMP-0167,Lead,2026-08-21,2026-09-08,8
71049cc8,TSK-PRJ-001-015,EMP-0177,Reviewer,2026-08-21,2026-09-08,3
44f67c3f,TSK-PRJ-001-015,EMP-0153,QA,2026-08-21,2026-09-08,3
7a73fecd,TSK-PRJ-001-016,EMP-0155,Lead,2026-03-09,2026-03-11,16
c190b72d,TSK-PRJ-001-017,EMP-0191,Lead,2026-01-23,2026-02-04,40
588a63e1,TSK-PRJ-001-017,EMP-0133,Reviewer,2026-01-23,2026-02-04,8
fdeb5ca5,TSK-PRJ-002-001,EMP-0192,Lead,2023-10-15,2023-11-08,40
f2d986ed,TSK-PRJ-002-001,EMP-0021,Reviewer,2023-10-15,2023-11-08,5
d39f84ea,TSK-PRJ-002-002,EMP-0061,Lead,2023-06-12,2023-06-18,8
71d2547c,TSK-PRJ-002-003,EMP-0132,Lead,2023-12-22,2023-12-22,16
f7cb7f85,TSK-PRJ-002-003,EMP-0013,Reviewer,2023-12-22,2023-12-22,5
06a894f5,TSK-PRJ-002-003,EMP-0112,Support,2023-12-22,2023-12-22,1
a7356f6f,TSK-PRJ-002-004,EMP-0187,Lead,2023-12-05,2023-12-13,8
9b1091ac,TSK-PRJ-002-004,EMP-0232,Reviewer,2023-12-05,2023-12-13,3
1df1afc4,TSK-PRJ-002-004,EMP-0234,Support,2023-12-05,2023-12-13,2
d908f6fd,TSK-PRJ-002-005,EMP-0215,Lead,2023-12-08,2023-12-21,40
4c386c51,TSK-PRJ-002-006,EMP-0120,Lead,2023-09-08,2023-10-04,40
324a1214,TSK-PRJ-002-006,EMP-0133,Support,2023-09-08,2023-10-04,16
4bc5d0a9,TSK-PRJ-002-006,EMP-0029,Reviewer,2023-09-08,2023-10-04,12
fcdb2e78,TSK-PRJ-002-007,EMP-0075,Lead,2023-11-12,2023-11-16,40
f603eb69,TSK-PRJ-002-008,EMP-0054,Lead,2023-08-24,2023-09-02,16
b1c1e9ca,TSK-PRJ-002-008,EMP-0201,QA,2023-08-24,2023-09-02,3
b974c9f3,TSK-PRJ-002-008,EMP-0104,QA,2023-08-24,2023-09-02,5
bb96dc44,TSK-PRJ-002-009,EMP-0110,Lead,2023-08-06,2023-08-18,16
2916489b,TSK-PRJ-002-010,EMP-0070,Lead,2023-05-17,2023-05-19,40
b2b73164,TSK-PRJ-002-010,EMP-0225,Support,2023-05-17,2023-05-19,9
c4eea3ae,TSK-PRJ-002-010,EMP-0096,Support,2023-05-17,2023-05-19,17
4acfd7c4,TSK-PRJ-002-011,EMP-0144,Lead,2024-02-25,2024-02-28,16
9af526c9,TSK-PRJ-002-011,EMP-0116,Reviewer,2024-02-25,2024-02-28,5
c351999e,TSK-PRJ-002-012,EMP-0085,Lead,2023-05-22,2023-06-06,80
78a24461,TSK-PRJ-002-012,EMP-0113,Reviewer,2023-05-22,2023-06-06,10
b3f01169,TSK-PRJ-002-012,EMP-0176,Support,2023-05-22,2023-06-06,27
5c419100,TSK-PRJ-002-013,EMP-0187,Lead,2024-02-26,2024-03-01,8
b9bdb94a,TSK-PRJ-002-013,EMP-0001,QA,2024-02-26,2024-03-01,2
3238a2f4,TSK-PRJ-002-013,EMP-0213,QA,2024-02-26,2024-03-01,3
e622f49a,TSK-PRJ-002-013,EMP-0140,Support,2024-02-26,2024-03-01,1
376633a5,TSK-PRJ-002-014,EMP-0090,Lead,2023-10-19,2023-11-09,16
636b0fae,TSK-PRJ-002-014,EMP-0153,Support,2023-10-19,2023-11-09,5
3166c455,TSK-PRJ-002-014,EMP-0198,Support,2023-10-19,2023-11-09,6
78883f50,TSK-PRJ-002-014,EMP-0144,QA,2023-10-19,2023-11-09,4
afbbce7f,TSK-PRJ-002-015,EMP-0121,Lead,2023-08-08,2023-08-22,80
3afed108,TSK-PRJ-002-015,EMP-0142,QA,2023-08-08,2023-08-22,8
3c3ad6d1,TSK-PRJ-002-015,EMP-0110,QA,2023-08-08,2023-08-22,35
d51826c2,TSK-PRJ-002-016,EMP-0171,Lead,2024-01-11,2024-01-15,80
4fd8c6cb,TSK-PRJ-002-017,EMP-0243,Lead,2023-11-18,2023-12-22,24
945d4523,TSK-PRJ-002-017,EMP-0098,QA,2023-11-18,2023-12-22,5
07c58bf9,TSK-PRJ-002-017,EMP-0106,Support,2023-11-18,2023-12-22,7
f462a3d0,TSK-PRJ-002-017,EMP-0175,Reviewer,2023-11-18,2023-12-22,6
c8b33b49,TSK-PRJ-002-018,EMP-0145,Lead,2023-12-07,2023-12-10,16
c2e8574f,TSK-PRJ-002-018,EMP-0096,Support,2023-12-07,2023-12-10,5
a23e0b14,TSK-PRJ-002-018,EMP-0039,QA,2023-12-07,2023-12-10,6
b5aeeb5b,TSK-PRJ-002-019,EMP-0007,Lead,2023-12-28,2024-01-01,40
23fe9e9e,TSK-PRJ-002-019,EMP-0063,Support,2023-12-28,2024-01-01,19
4b662252,TSK-PRJ-002-019,EMP-0171,QA,2023-12-28,2024-01-01,8
dd20b4ac,TSK-PRJ-002-019,EMP-0016,QA,2023-12-28,2024-01-01,6
16eeb581,TSK-PRJ-002-020,EMP-0024,Lead,2023-06-03,2023-06-13,4
442fec0e,TSK-PRJ-002-020,EMP-0202,Reviewer,2023-06-03,2023-06-13,1
3664fe70,TSK-PRJ-002-020,EMP-0200,Reviewer,2023-06-03,2023-06-13,1
a1753ba1,TSK-PRJ-002-020,EMP-0226,Reviewer,2023-06-03,2023-06-13,1
9a200628,TSK-PRJ-002-021,EMP-0238,Lead,2023-12-09,2023-12-11,8
e65054dc,TSK-PRJ-003-001,EMP-0016,Lead,2023-03-10,2023-03-24,4
943b13c5,TSK-PRJ-003-002,EMP-0009,Lead,2023-07-13,2023-07-16,40
7ae9dbf7,TSK-PRJ-003-002,EMP-0219,Support,2023-07-13,2023-07-16,17
182a8f3a,TSK-PRJ-003-002,EMP-0017,Support,2023-07-13,2023-07-16,17
372d0226,TSK-PRJ-003-003,EMP-0174,Lead,2023-09-15,2023-09-18,40
979049f3,TSK-PRJ-003-003,EMP-0203,QA,2023-09-15,2023-09-18,9
9667ebcf,TSK-PRJ-003-003,EMP-0209,Support,2023-09-15,2023-09-18,9
98873454,TSK-PRJ-003-003,EMP-0039,Reviewer,2023-09-15,2023-09-18,8
0a7aee57,TSK-PRJ-003-004,EMP-0052,Lead,2023-04-19,2023-04-28,8
00a901c7,TSK-PRJ-003-004,EMP-0148,Support,2023-04-19,2023-04-28,3
c7c244cf,TSK-PRJ-003-004,EMP-0210,Reviewer,2023-04-19,2023-04-28,2
9f26553c,TSK-PRJ-003-005,EMP-0091,Lead,2023-07-23,2023-07-25,40
7d754e26,TSK-PRJ-003-005,EMP-0222,QA,2023-07-23,2023-07-25,4
6f406825,TSK-PRJ-003-006,EMP-0218,Lead,2023-05-04,2023-05-25,4
0f97d8ef,TSK-PRJ-003-006,EMP-0166,Reviewer,2023-05-04,2023-05-25,1
636437e0,TSK-PRJ-003-006,EMP-0182,Reviewer,2023-05-04,2023-05-25,1
3ccbc148,TSK-PRJ-003-006,EMP-0028,Reviewer,2023-05-04,2023-05-25,1
f78835a6,TSK-PRJ-003-007,EMP-0013,Lead,2023-04-08,2023-04-28,4
dd4b6bc5,TSK-PRJ-003-008,EMP-0123,Lead,2023-06-19,2023-06-26,80
fba2bf91,TSK-PRJ-003-008,EMP-0030,QA,2023-06-19,2023-06-26,10
6b87013b,TSK-PRJ-003-009,EMP-0081,Lead,2023-10-19,2023-10-25,8
cdc96272,TSK-PRJ-003-010,EMP-0148,Lead,2023-09-03,2023-09-09,8
1e565f21,TSK-PRJ-003-011,EMP-0204,Lead,2023-04-06,2023-04-21,40
46327588,TSK-PRJ-003-011,EMP-0156,QA,2023-04-06,2023-04-21,11
6a91cc2f,TSK-PRJ-003-012,EMP-0078,Lead,2023-05-06,2023-05-10,40
7e5c997c,TSK-PRJ-003-012,EMP-0233,Support,2023-05-06,2023-05-10,6
1a340543,TSK-PRJ-003-012,EMP-0089,QA,2023-05-06,2023-05-10,11
1ea5c343,TSK-PRJ-003-013,EMP-0024,Lead,2023-04-04,2023-04-09,4
441cccb8,TSK-PRJ-003-013,EMP-0204,Reviewer,2023-04-04,2023-04-09,1
a1a0aee6,TSK-PRJ-004-001,EMP-0065,Lead,2024-06-07,2024-06-26,4
9f918e64,TSK-PRJ-004-002,EMP-0065,Lead,2024-07-06,2024-07-25,40
c2322358,TSK-PRJ-004-002,EMP-0048,QA,2024-07-06,2024-07-25,11
bc439ebd,TSK-PRJ-004-002,EMP-0164,Reviewer,2024-07-06,2024-07-25,15
