task_id,project_id,milestone_id,task_name,description,assigned_to,start_date,end_date,status,priority,estimated_hours
TSK-PRJ-001-001,PRJ-001,d6a919e8,Off kid hard day religious,Within challenge large wish move building.,EMP-0089,2026-03-30,2026-03-31,Not Started,Medium,16
TSK-PRJ-001-002,PRJ-001,8c662766,Above school wish,Positive far time wide senior yes.,EMP-0071,2025-10-06,2025-10-21,Completed,Medium,4
TSK-PRJ-001-003,PRJ-001,d6a919e8,Too cause nearly final husband subject,Group for part crime money sit short.,EMP-0062,2026-03-30,2026-05-04,In Progress,Medium,4
TSK-PRJ-001-004,PRJ-001,a06109db,Make owner memory argue,Huge respond into history activity general.,EMP-0096,2026-03-01,2026-03-10,Review,High,24
TSK-PRJ-001-005,PRJ-001,f99863f2,Clearly road today rock,Cause onto beat debate listen test.,EMP-0037,2026-09-05,2026-09-26,In Progress,Low,8
TSK-PRJ-001-006,PRJ-001,534064b0,Left nothing trip current strategy face,Amount step strong fight nice less agree.,EMP-0038,2026-07-19,2026-07-27,In Progress,High,8
TSK-PRJ-001-007,PRJ-001,3f5560cd,President throughout individual,Trade population agreement share manage wife out.,EMP-0011,2026-01-18,2026-01-29,Not Started,Medium,40
TSK-PRJ-001-008,PRJ-001,4330125c,Run adult employee ok certainly leave,Group apply guess player.,EMP-0111,2025-11-06,2025-11-24,Completed,Low,4
TSK-PRJ-001-009,PRJ-001,4330125c,Sell myself their step rate feeling,Benefit oil statement actually million health.,EMP-0204,2025-12-08,2025-12-09,Completed,High,40
TSK-PRJ-001-010,PRJ-001,3f5560cd,Suffer Republican reduce sort individual trouble,Standard type look find.,EMP-0184,2026-01-15,2026-01-29,Blocked,Low,40
TSK-PRJ-001-011,PRJ-001,4330125c,Develop task central,Film decide wonder interesting several.,EMP-0127,2025-11-15,2025-11-16,Completed,Low,40
TSK-PRJ-001-012,PRJ-001,8c662766,Or light training analysis feeling act,Site turn day top.,EMP-0177,2025-09-19,2025-09-20,Completed,Low,80
TSK-PRJ-001-013,PRJ-001,534064b0,Goal talk sit party measure,Between official add describe.,EMP-0214,2026-07-12,2026-08-09,Blocked,High,24
TSK-PRJ-001-014,PRJ-001,a06109db,Surface listen recently continue pull blue,Wonder interest method imagine seven fire.,EMP-0112,2026-03-21,2026-03-22,Blocked,Low,24
TSK-PRJ-001-015,PRJ-001,f99863f2,Lead save reach subject,Network fact talk country attorney.,EMP-0167,2026-08-21,2026-09-08,Not Started,Low,8
TSK-PRJ-001-016,PRJ-001,a06109db,Century husband opportunity,Scientist throughout collection hair.,EMP-0155,2026-03-09,2026-03-11,Blocked,Medium,16
TSK-PRJ-001-017,PRJ-001,3f5560cd,Share she order series,Green project wear would memory challenge.,EMP-0191,2026-01-23,2026-02-04,In Progress,Low,40
TSK-PRJ-002-001,PRJ-002,d0bcbad5,Will him quickly,Few perhaps set produce.,EMP-0192,2023-10-15,2023-11-08,Completed,Medium,40
TSK-PRJ-002-002,PRJ-002,45bcf3ba,Weight all involve,Himself fire heavy least.,EMP-0061,2023-06-12,2023-06-18,Completed,Medium,8
TSK-PRJ-002-003,PRJ-002,ec0dfc3a,Issue fine home shake notice make,Rate occur live take media hot manager.,EMP-0132,2023-12-22,2023-12-22,Completed,Medium,16
TSK-PRJ-002-004,PRJ-002,ec0dfc3a,Agree through game best generation group,Argue each doctor fine be read.,EMP-0187,2023-12-05,2023-12-13,Completed,Low,8
TSK-PRJ-002-005,PRJ-002,ec0dfc3a,Top entire receive onto worry help,Follow best major real day market.,EMP-0215,2023-12-08,2023-12-21,Completed,Medium,40
TSK-PRJ-002-006,PRJ-002,711dc1dd,Explain answer you I,Person when response official option.,EMP-0120,2023-09-08,2023-10-04,Completed,Medium,40
TSK-PRJ-002-007,PRJ-002,d0bcbad5,Measure feel professional finish,I person law shake Congress affect.,EMP-0075,2023-11-12,2023-11-16,Completed,Medium,40
TSK-PRJ-002-008,PRJ-002,a3b81f92,Table trade various risk art customer,Challenge character rate feel itself five store.,EMP-0054,2023-08-24,2023-09-02,Completed,High,16
TSK-PRJ-002-009,PRJ-002,a3b81f92,Door draw change agree someone financial,Nice job positive already city carry election.,EMP-0110,2023-08-06,2023-08-18,Completed,High,16
TSK-PRJ-002-010,PRJ-002,45bcf3ba,Finish fear as,To public though however style successful.,EMP-0070,2023-05-17,2023-05-19,Completed,Low,40
TSK-PRJ-002-011,PRJ-002,650e78e4,This draw business southern forget once,South season very design blood degree.,EMP-0144,2024-02-25,2024-02-28,Completed,Low,16
TSK-PRJ-002-012,PRJ-002,45bcf3ba,Interest radio white these view guy,Start again whom paper success production.,EMP-0085,2023-05-22,2023-06-06,Completed,High,80
TSK-PRJ-002-013,PRJ-002,650e78e4,Police red total rate,Term tax home travel hotel within eight.,EMP-0187,2024-02-26,2024-03-01,Completed,High,8
TSK-PRJ-002-014,PRJ-002,d0bcbad5,First speech popular smile ever bag single,Media goal own spend scene.,EMP-0090,2023-10-19,2023-11-09,Completed,High,16
TSK-PRJ-002-015,PRJ-002,a3b81f92,Office book economic require should,Suggest rate society floor.,EMP-0121,2023-08-08,2023-08-22,Completed,High,80
TSK-PRJ-002-016,PRJ-002,3b30ee97,Then war this difference way,Positive phone trade wind cup red collection.,EMP-0171,2024-01-11,2024-01-15,Completed,Low,80
TSK-PRJ-002-017,PRJ-002,ec0dfc3a,Itself turn law purpose budget require,Watch spend entire second high.,EMP-0243,2023-11-18,2023-12-22,Completed,Medium,24
